numero,tipo,estado,precio,planta
5,cuadruple,disponible,0,baja
2,cuadruple,disponible,0,baja
26,suite_para_5,reservada,0,baja
25,suite_para_5,disponible,25000,baja
7,cuadruple,disponible,0,baja
8,cuadruple,disponible,0,baja
3,triple,disponible,0,baja
4,triple,disponible,0,baja
6,triple,disponible,0,baja
23,doble,disponible,0,baja
24,doble,disponible,0,baja
11,cuadruple,disponible,0,alta
12,cuadruple,disponible,0,baja
14,cuadruple,disponible,0,alta
16,cuadruple,disponible,0,baja
18,cuadruple,disponible,0,alta
22,cuadruple,disponible,0,alta
15,triple,disponible,0,alta
17,triple,disponible,0,alta
19,triple,disponible,0,alta
21,triple,disponible,0,alta
9,suite_para_7,disponible,0,alta
10,suite_para_7,disponible,0,alta
